step,n_total,n_food_edges,n_pred_edges,n_direct,n_inp_out,n_new,n_lost,c0_eat,c1_eat,diff
100,23,0,2,1,1,23,27,0.3333333333333333,0.2,0.1333333333333333
200,18,1,1,2,3,17,26,0.25,0.25,0.0
300,26,3,3,1,1,25,26,0.0,1.0,-1.0
400,32,4,1,0,6,32,27,nan,0.5,nan
500,22,1,2,0,0,22,27,0.2857142857142857,0.0,0.2857142857142857
600,20,2,0,0,2,19,26,nan,0.0,nan
700,23,2,1,2,4,21,25,0.6666666666666666,0.0,0.6666666666666666
800,26,3,3,1,2,26,27,0.0,0.0,0.0
900,33,3,3,0,9,33,27,nan,0.4,nan
1000,19,1,0,0,0,19,27,0.0,0.2,-0.2
1100,26,1,2,1,1,26,27,0.0,0.0,0.0
1200,37,2,4,0,9,36,26,0.0,1.0,-1.0
1300,27,1,1,1,2,25,25,0.0,nan,nan
1400,31,2,3,0,4,30,26,nan,0.0,nan
1500,24,4,2,2,5,23,26,0.0,nan,nan
1600,21,0,3,0,0,21,27,nan,0.0,nan
1700,20,2,1,1,2,20,27,nan,0.0,nan
1800,26,1,2,1,2,25,26,0.0,0.5,-0.5
1900,21,0,1,0,1,20,26,0.0,0.0,0.0
2000,27,2,2,1,7,24,24,0.0,0.0,0.0
2100,30,1,2,0,0,30,27,0.125,0.14285714285714285,-0.01785714285714285
2200,26,2,1,1,2,26,27,0.2857142857142857,0.16666666666666666,0.11904761904761904
2300,22,4,3,0,0,21,26,1.0,0.0,1.0
2400,20,1,2,2,3,19,26,nan,0.2,nan
2500,34,3,3,3,4,33,26,0.0,0.13333333333333333,-0.13333333333333333
2600,27,4,1,2,4,26,26,0.0,0.0,0.0
2700,24,1,0,1,3,24,27,1.0,nan,nan
2800,28,2,3,3,4,27,26,0.16666666666666666,0.0,0.16666666666666666
2900,27,4,0,0,2,26,26,0.0,0.1111111111111111,-0.1111111111111111
3000,30,3,2,0,2,29,26,0.2,0.16666666666666666,0.033333333333333354
3100,23,4,1,3,7,22,26,0.3333333333333333,0.0,0.3333333333333333
3200,20,1,2,0,3,19,26,0.3333333333333333,0.0,0.3333333333333333
3300,26,1,2,2,5,26,27,0.5,0.1111111111111111,0.3888888888888889
3400,24,1,0,2,9,23,26,0.3333333333333333,0.5,-0.16666666666666669
3500,19,1,1,1,1,18,26,0.25,0.5,-0.25
3600,22,1,1,0,1,20,25,0.0,0.2727272727272727,-0.2727272727272727
3700,27,2,1,2,5,26,26,0.0,0.07692307692307693,-0.07692307692307693
3800,24,2,2,1,10,23,26,nan,0.3333333333333333,nan
3900,28,2,1,1,4,26,25,0.3333333333333333,0.0,0.3333333333333333
4000,13,2,2,0,0,13,27,1.0,1.0,0.0
4100,27,3,2,0,2,26,26,0.3333333333333333,0.0,0.3333333333333333
4200,27,2,2,1,1,24,24,0.0,0.2857142857142857,-0.2857142857142857
4300,24,0,3,0,1,23,26,0.0,0.0,0.0
4400,25,2,2,1,2,25,27,1.0,0.5,0.5
4500,32,3,0,1,1,31,26,0.0,0.25,-0.25
4600,30,2,0,2,6,30,27,0.0,1.0,-1.0
4700,26,6,2,1,3,26,27,0.5,nan,nan
4800,36,3,5,3,17,34,25,nan,1.0,nan
4900,25,3,3,0,3,23,25,0.6666666666666666,0.3333333333333333,0.3333333333333333
5000,23,2,1,1,4,22,26,nan,0.0,nan
