step,n_total,n_food_edges,n_pred_edges,n_direct,n_inp_out,n_new,n_lost,c0_eat,c1_eat,diff
100,22,1,1,0,0,22,24,0.5,0.0,0.5
200,22,2,1,0,0,20,22,0.3333333333333333,0.16666666666666666,0.16666666666666666
300,20,2,1,0,0,18,22,0.6666666666666666,0.5,0.16666666666666663
400,13,2,2,1,1,13,24,0.0,0.0,0.0
500,25,0,3,1,4,25,24,0.2,nan,nan
600,24,3,1,1,8,22,22,0.5,0.14285714285714285,0.35714285714285715
700,23,2,3,1,7,23,24,1.0,0.0,1.0
800,23,0,2,0,6,21,22,nan,nan,nan
900,17,2,0,1,2,17,24,0.3333333333333333,0.0,0.3333333333333333
1000,25,1,2,1,1,24,23,0.0,0.0,0.0
1100,14,1,0,0,0,14,24,nan,0.0,nan
1200,24,2,0,1,2,23,23,0.0,0.5,-0.5
1300,22,2,0,2,3,22,24,nan,0.2,nan
1400,24,2,5,2,2,24,24,1.0,0.15384615384615385,0.8461538461538461
1500,20,0,2,1,1,19,23,0.0,0.5,-0.5
1600,29,0,5,1,4,26,21,nan,0.5,nan
1700,23,1,0,1,2,23,24,0.0,0.0,0.0
1800,26,4,0,3,5,25,23,0.0,0.6666666666666666,-0.6666666666666666
1900,20,0,2,1,3,19,23,0.5,0.2,0.3
2000,15,0,0,0,1,15,24,nan,0.3333333333333333,nan
2100,22,1,1,1,2,22,24,0.0,0.08333333333333333,-0.08333333333333333
2200,24,1,1,0,1,21,21,0.3333333333333333,nan,nan
2300,28,4,0,3,4,27,23,0.0,0.0,0.0
2400,20,0,2,0,0,20,24,0.14285714285714285,0.0,0.14285714285714285
2500,23,3,4,2,2,22,23,0.5,0.5,0.0
2600,27,7,1,1,6,25,22,0.5,0.3333333333333333,0.16666666666666669
2700,25,2,1,2,3,25,24,1.0,nan,nan
2800,22,2,0,0,2,22,24,0.3333333333333333,nan,nan
2900,25,4,2,0,0,25,24,0.18181818181818182,0.07692307692307693,0.1048951048951049
3000,26,1,4,1,2,26,24,nan,0.0,nan
3100,24,3,1,0,4,24,24,0.0,0.5,-0.5
3200,25,2,1,0,0,23,22,0.1111111111111111,0.0,0.1111111111111111
3300,31,3,3,0,4,31,24,0.0,0.5,-0.5
3400,22,2,1,1,7,22,24,nan,0.0,nan
3500,29,3,2,1,9,29,24,0.3333333333333333,0.6666666666666666,-0.3333333333333333
3600,20,2,3,0,0,20,24,0.6666666666666666,0.0,0.6666666666666666
3700,21,0,3,0,1,20,23,1.0,nan,nan
3800,17,2,3,3,4,17,24,0.0,0.25,-0.25
3900,26,0,2,3,3,23,21,0.5,0.16666666666666666,0.33333333333333337
4000,25,4,0,1,2,24,23,0.0,0.5,-0.5
4100,22,1,1,0,2,22,24,0.6666666666666666,0.14285714285714285,0.5238095238095237
4200,29,6,3,2,2,29,24,0.0,0.25,-0.25
4300,28,2,0,1,3,26,22,0.3333333333333333,0.07142857142857142,0.26190476190476186
4400,23,3,2,0,4,22,23,nan,1.0,nan
4500,24,3,1,0,0,22,22,0.5,nan,nan
4600,35,3,2,0,12,34,23,0.3333333333333333,0.3333333333333333,0.0
4700,29,3,2,4,9,29,24,0.0,0.2,-0.2
4800,24,4,1,2,5,24,24,0.0,0.0,0.0
4900,26,2,1,1,9,26,24,0.0,0.5,-0.5
5000,19,4,0,1,1,19,24,0.16666666666666666,0.0,0.16666666666666666
