step,n_total,n_food_edges,n_pred_edges,n_direct,n_inp_out,n_new,n_lost,c0_eat,c1_eat,diff
100,64,3,2,1,14,64,77,nan,0.0,nan
200,72,5,3,0,12,69,74,0.3333333333333333,nan,nan
300,61,0,4,0,9,59,75,0.0,0.0,0.0
400,68,5,3,1,6,64,73,0.0,0.5,-0.5
500,68,2,3,2,7,66,75,0.3333333333333333,0.0,0.3333333333333333
600,63,3,1,1,9,58,72,nan,nan,nan
700,56,1,5,1,5,55,76,0.0,0.125,-0.125
800,52,4,2,0,10,49,74,1.0,0.0,1.0
900,54,1,3,1,1,52,75,0.5,0.0,0.5
1000,63,2,3,0,3,60,74,1.0,0.0,1.0
1100,58,3,3,2,12,57,76,0.0,0.25,-0.25
1200,63,5,5,0,4,59,73,0.0,0.4,-0.4
1300,61,4,3,1,5,58,74,0.0,0.6,-0.6
1400,75,3,1,0,15,74,76,0.5,0.0,0.5
1500,78,4,8,0,8,75,74,0.0,0.16666666666666666,-0.16666666666666666
1600,52,1,2,0,0,51,76,0.0,0.0,0.0
1700,60,2,0,0,8,58,75,0.3333333333333333,0.0,0.3333333333333333
1800,59,3,5,2,8,58,76,nan,0.0,nan
1900,61,4,2,0,0,57,73,0.5,0.0,0.5
2000,51,1,1,0,9,49,75,0.5,0.0,0.5
2100,58,2,2,1,7,56,75,nan,0.0,nan
2200,52,2,2,0,0,45,70,nan,1.0,nan
2300,52,5,4,0,10,49,74,0.5,0.5,0.0
2400,73,5,4,0,12,70,74,1.0,0.0,1.0
2500,61,1,2,1,16,59,75,0.5,0.2,0.3
2600,72,2,2,0,15,69,74,0.14285714285714285,0.4,-0.2571428571428572
2700,71,5,2,1,20,68,74,0.1,0.125,-0.024999999999999994
2800,60,5,3,1,15,56,73,1.0,nan,nan
2900,52,2,2,0,1,48,73,0.0,0.3333333333333333,-0.3333333333333333
3000,52,2,7,2,15,47,72,0.4,0.3333333333333333,0.06666666666666671
3100,60,5,4,0,12,57,74,0.3333333333333333,0.07142857142857142,0.26190476190476186
3200,60,5,2,0,10,58,75,0.25,nan,nan
3300,52,4,2,3,14,50,75,0.0,0.0,0.0
3400,59,2,4,1,4,58,76,0.0,0.2727272727272727,-0.2727272727272727
3500,55,1,5,0,6,46,68,0.0,0.2857142857142857,-0.2857142857142857
3600,58,0,3,0,12,55,74,1.0,0.5,0.5
3700,59,5,2,1,5,53,71,nan,1.0,nan
3800,65,1,2,0,4,61,73,0.16666666666666666,0.15384615384615385,0.012820512820512803
3900,63,4,1,1,8,62,76,nan,0.25,nan
4000,62,2,4,1,4,58,73,0.4,0.4,0.0
4100,49,2,4,1,6,46,74,0.3333333333333333,nan,nan
4200,70,2,5,0,6,63,70,0.0,0.2,-0.2
4300,83,4,8,1,16,79,73,0.3333333333333333,0.1,0.2333333333333333
4400,61,1,4,0,13,59,75,0.375,0.0,0.375
4500,68,4,5,0,3,65,74,0.4,nan,nan
4600,64,6,3,1,9,61,74,0.0,0.0,0.0
4700,66,4,3,2,15,64,75,0.125,0.25,-0.125
4800,67,2,3,3,8,63,73,nan,nan,nan
4900,81,3,4,0,12,74,70,0.25,0.0,0.25
5000,69,4,6,2,9,65,73,0.0,0.2857142857142857,-0.2857142857142857
