step,n_total,n_food_edges,n_pred_edges,n_direct,n_inp_out,n_new,n_lost,c0_eat,c1_eat,diff
100,28,2,1,0,3,25,23,0.4,0.0,0.4
200,26,0,4,0,4,25,25,0.0,0.0,0.0
300,29,5,4,0,0,25,22,0.18181818181818182,0.0,0.18181818181818182
400,27,2,0,2,9,26,25,0.0,0.0,0.0
500,19,1,3,2,3,19,26,0.0,0.5,-0.5
600,23,3,2,1,2,23,26,nan,0.5,nan
700,27,1,2,1,1,26,25,0.0,0.0,0.0
800,15,0,3,0,0,14,25,0.0,0.06666666666666667,-0.06666666666666667
900,27,0,0,3,8,27,26,0.16666666666666666,0.25,-0.08333333333333334
1000,28,3,2,0,1,28,26,0.5,0.0,0.5
1100,31,2,1,0,3,31,26,0.0,0.0,0.0
1200,28,2,2,0,0,26,24,nan,1.0,nan
1300,24,1,3,1,1,24,26,1.0,0.16666666666666666,0.8333333333333334
1400,24,2,1,0,2,23,25,0.0,0.2222222222222222,-0.2222222222222222
1500,24,1,1,1,7,22,24,0.6666666666666666,0.0,0.6666666666666666
1600,21,1,1,2,2,21,26,0.0,0.0,0.0
1700,15,3,0,1,1,15,26,0.0,0.16666666666666666,-0.16666666666666666
1800,21,1,2,0,0,18,23,0.2,0.2,0.0
1900,27,2,2,0,0,26,25,nan,0.0,nan
2000,30,4,1,1,3,29,25,0.0,0.13333333333333333,-0.13333333333333333
2100,26,3,3,1,3,24,24,nan,0.5,nan
2200,26,5,6,0,0,25,25,0.0,0.2,-0.2
2300,29,4,2,1,3,26,23,0.0,0.5,-0.5
2400,31,2,1,1,5,29,24,0.5,0.2857142857142857,0.2142857142857143
2500,25,2,2,1,5,25,26,0.0,1.0,-1.0
2600,35,2,2,2,9,33,24,0.0,0.0,0.0
2700,33,5,1,0,5,33,26,0.25,0.0,0.25
2800,22,4,1,1,5,21,25,1.0,nan,nan
2900,23,1,5,0,1,22,25,0.25,0.0,0.25
3000,20,2,1,2,2,20,26,nan,0.0,nan
3100,26,1,3,1,2,26,26,0.0,0.16666666666666666,-0.16666666666666666
3200,25,1,0,0,8,24,25,nan,0.5,nan
3300,17,1,3,0,0,17,26,1.0,0.5,0.5
3400,24,4,1,0,0,23,25,0.0,0.1111111111111111,-0.1111111111111111
3500,26,1,2,0,0,26,26,0.6666666666666666,0.125,0.5416666666666666
3600,26,3,3,0,6,25,25,nan,nan,nan
3700,26,2,2,2,8,26,26,1.0,0.25,0.75
3800,32,3,5,4,12,31,25,0.5,nan,nan
3900,24,2,2,0,4,23,25,0.1111111111111111,0.0,0.1111111111111111
4000,29,1,4,1,3,29,26,0.0,0.2222222222222222,-0.2222222222222222
4100,21,2,2,0,1,20,25,nan,0.3333333333333333,nan
4200,26,1,0,0,1,25,25,0.2,0.3333333333333333,-0.1333333333333333
4300,30,3,4,1,5,28,24,0.6666666666666666,0.0,0.6666666666666666
4400,33,2,3,2,11,32,25,0.2222222222222222,0.4,-0.1777777777777778
4500,13,0,1,1,2,13,26,0.2,0.06666666666666667,0.13333333333333336
4600,23,3,1,1,2,22,25,0.08333333333333333,0.3,-0.21666666666666667
4700,16,2,1,1,2,16,26,0.16666666666666666,0.2727272727272727,-0.10606060606060605
4800,25,1,3,1,3,25,26,nan,0.0,nan
4900,23,1,2,1,3,22,25,0.3333333333333333,0.0,0.3333333333333333
5000,19,1,0,0,0,18,25,nan,0.0,nan
