step,n_total,n_food_edges,n_pred_edges,n_direct,n_inp_out,n_new,n_lost,c0_eat,c1_eat,diff
100,77,7,3,1,16,75,59,nan,nan,nan
200,46,2,3,0,1,43,58,0.0,0.08333333333333333,-0.08333333333333333
300,61,3,2,1,14,57,57,0.5,0.0,0.5
400,47,4,2,1,2,44,58,0.6666666666666666,0.0,0.6666666666666666
500,54,5,2,0,0,51,58,0.3333333333333333,0.2,0.1333333333333333
600,70,6,5,4,15,65,56,0.0,0.125,-0.125
700,70,4,5,2,20,69,60,0.5,0.0,0.5
800,51,0,0,0,2,48,58,0.3333333333333333,0.4,-0.06666666666666671
900,42,4,0,1,9,41,60,0.5,0.5,0.0
1000,56,3,4,1,4,54,59,nan,0.0,nan
1100,52,1,2,1,10,50,59,0.25,nan,nan
1200,56,2,5,0,2,55,60,0.0,0.42857142857142855,-0.42857142857142855
1300,59,1,2,2,9,59,61,0.3333333333333333,0.125,0.20833333333333331
1400,58,5,4,0,4,56,59,0.0,0.6666666666666666,-0.6666666666666666
1500,62,5,2,0,12,58,57,0.0,0.42857142857142855,-0.42857142857142855
1600,49,1,4,1,1,49,61,1.0,0.25,0.75
1700,71,4,3,0,3,68,58,0.0,0.14285714285714285,-0.14285714285714285
1800,67,4,3,3,21,67,61,0.14285714285714285,0.15384615384615385,-0.010989010989011005
1900,63,3,4,2,12,61,59,0.25,0.3333333333333333,-0.08333333333333331
2000,58,2,3,1,6,57,60,0.0,0.6666666666666666,-0.6666666666666666
2100,57,3,2,1,7,53,57,0.3333333333333333,0.14285714285714285,0.19047619047619047
2200,63,3,6,1,16,60,58,nan,1.0,nan
2300,73,4,4,6,14,70,58,0.0,0.2,-0.2
2400,61,5,3,1,7,59,59,0.0,0.25,-0.25
2500,54,3,6,1,6,51,58,0.0,0.3333333333333333,-0.3333333333333333
2600,71,4,2,0,7,71,61,0.0,0.15384615384615385,-0.15384615384615385
2700,50,5,5,0,4,48,59,0.0,0.2,-0.2
2800,59,2,5,2,12,56,58,nan,0.14285714285714285,nan
2900,53,4,3,1,18,52,60,0.1,0.0625,0.037500000000000006
3000,67,4,5,3,4,62,56,nan,1.0,nan
3100,51,2,3,0,4,46,56,0.0,0.16666666666666666,-0.16666666666666666
3200,71,5,2,1,16,63,53,0.3333333333333333,0.25,0.08333333333333331
3300,55,2,4,2,2,53,59,0.0,0.0,0.0
3400,53,4,2,2,16,51,59,nan,nan,nan
3500,50,1,6,1,10,49,60,0.0,0.0,0.0
3600,50,2,3,0,6,48,59,0.6666666666666666,0.14285714285714285,0.5238095238095237
3700,59,1,4,3,17,57,59,0.0,0.14285714285714285,-0.14285714285714285
3800,63,4,6,2,14,61,59,0.0,0.5,-0.5
3900,57,3,3,1,10,54,58,1.0,0.0,1.0
4000,59,3,2,0,6,58,60,1.0,0.5,0.5
4100,62,0,2,1,7,55,54,0.16666666666666666,0.0,0.16666666666666666
4200,63,5,6,1,6,61,59,0.0,0.2,-0.2
4300,59,1,2,3,12,59,61,0.0,0.42857142857142855,-0.42857142857142855
4400,69,2,2,1,17,67,59,0.0,0.0,0.0
4500,65,3,5,2,10,61,57,0.0,0.0,0.0
4600,52,5,2,2,13,49,58,0.125,0.0,0.125
4700,67,7,2,2,15,66,60,0.0,0.14285714285714285,-0.14285714285714285
4800,53,8,1,2,3,52,60,0.2,0.0,0.2
4900,76,3,2,0,20,72,57,0.0,1.0,-1.0
5000,46,2,2,0,2,45,60,1.0,nan,nan
